Samples - Plot 0	"Amplitude, V - Plot 0"
324	-0.0047555
325	-0.00247874
326	-0.00182824
327	-0.00182824
328	-0.00117774
329	-0.00377975
330	-0.00280399
331	0.00044852
332	-0.00215349
333	-0.00117774
334	-0.00182824
335	-0.00117774
336	-0.000527234
337	-0.00312925
338	-0.00247874
339	-0.00150299
340	-0.00508075
341	-0.00508075
342	-0.00443025
343	-0.00182824
344	0.000123269
345	-0.00247874
346	-0.00280399
347	-0.00117774
348	-0.00215349
349	0.000773772
350	0.00044852
351	-0.00280399
352	-0.004105
353	-0.00247874
354	-0.00150299
355	-0.000201983
356	-0.00182824
357	-0.00117774
358	-0.0034545
359	-0.00638176
360	-0.00150299
361	-0.00182824
362	-0.00280399
363	-0.00377975
364	-0.00605651
365	-0.0034545
366	-0.0034545
367	-0.000527234
368	-0.00182824
369	-0.00735751
370	-0.004105
371	0.000123269
372	-0.0034545
373	-0.00377975
374	-0.00280399
375	-0.00508075
376	-0.00540601
377	-0.00768277
378	-0.00670701
379	-0.0034545
380	-0.00312925
381	-0.00247874
382	-0.00377975
383	-0.00638176
384	-0.00377975
385	-0.00377975
386	-0.00377975
387	-0.00508075
388	-0.0034545
389	-0.00508075
390	-0.00735751
391	-0.00638176
392	-0.00443025
393	-0.00377975
394	-0.0047555
395	-0.00443025
396	-0.00377975
397	-0.0047555
398	-0.00247874
399	-0.00443025
400	-0.0047555
401	-0.00540601
402	-0.00377975
403	-0.00443025
404	-0.00703226
405	-0.00443025
406	-0.00150299
407	-0.004105
408	-0.00638176
409	-0.00638176
410	-0.00540601
411	-0.004105
412	-0.0047555
413	-0.00377975
414	-0.00280399
415	-0.00150299
416	-0.0034545
417	-0.00638176
418	-0.0034545
419	-0.00182824
420	-0.00377975
421	-0.00312925
422	-0.00215349
423	-0.00117774
424	-0.00150299
425	-0.004105
426	-0.00573126
427	-0.00377975
428	-0.00443025
429	-0.00377975
430	-0.0034545
431	-0.00377975
432	-0.0034545
433	-0.0047555
434	-0.0034545
435	-0.00508075
436	-0.00215349
437	0.000773772
438	-0.00377975
439	-0.00247874
440	-0.00247874
441	-0.00182824
442	-0.00280399
443	-0.00443025
444	-0.0034545
445	-0.00312925
446	-0.00247874
447	-0.00247874
448	-0.00182824
449	-0.00508075
450	-0.00377975
451	-0.00443025
452	-0.00280399
453	-0.00215349
454	-0.00508075
455	-0.00280399
456	-0.000852486
457	-0.00182824
458	-0.00280399
459	-0.00247874
460	-0.00280399
461	-0.00215349
462	-0.000527234
463	-0.00247874
464	-0.00247874
465	-0.0034545
466	-0.00117774
467	-0.00182824
468	-0.00182824
469	-0.00182824
470	-0.00182824
471	-0.000852486
472	-0.004105
473	-0.000201983
474	-0.00150299
475	-0.00280399
476	-0.00443025
477	-0.00150299
478	-0.00150299
479	-0.0034545
480	-0.00377975
481	0.00044852
482	-0.000852486
483	-0.00247874
484	-0.00280399
485	-0.00312925
486	-0.000201983
487	-0.00215349
488	-0.00150299
489	-0.00215349
490	-0.00150299
491	-0.00182824
492	-0.000201983
493	-0.00150299
494	-0.000527234
495	-0.000852486
496	-0.00247874
497	-0.00247874
498	-0.00117774
499	-0.00150299
500	-0.00215349
501	-0.00182824
502	0.000123269
503	-0.00150299
504	-0.00150299
505	-0.00247874
506	-0.000201983
507	-0.00117774
508	0.000123269
509	-0.00117774
510	-0.000201983
511	-0.000852486
512	-0.0034545
513	-0.00312925
514	-0.000852486
515	-0.000527234
516	-0.00377975
517	-0.00247874
518	-0.0034545
519	-0.00280399
520	-0.00443025
521	-0.0047555
522	-0.00117774
523	-0.00215349
524	-0.000852486
525	-0.000527234
526	-0.00247874
527	0.00207478
528	-0.00247874
529	-0.00150299
530	-0.00150299
531	-0.0034545
532	-0.00182824
533	-0.00150299
